wgt,gender,ed_lvl,income_q,employed,rural,account,savings,loans,mobile,internet,wages_2,wages_3,wages_4,transfers_2,transfers_3,transfers_4,pension_2,pension_3,pension_4,agri_sale_2,agri_sale_3,agri_sale_4,utilities_2,utilities_3,utilities_4,remittances_2,remittances_3,remittances_4,age_sqrt
0.22,1,2,2,0,0,1,1,1,0,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,5.916
0.59,1,3,5,0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,5.657
0.54,0,2,4,0,0,1,1,1,0,1,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,6.481
0.46,1,2,3,0,1,1,1,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.243
0.9,1,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,5.477
1.57,1,2,4,1,0,0,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.583
0.28,1,3,3,0,0,0,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.292
1.11,0,1,1,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.164
0.92,1,1,1,1,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,5.916
0.49,0,1,4,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.708
0.9,1,1,4,0,1,0,0,1,0,1,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,8.062
0.94,1,2,3,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.243
0.53,1,2,1,0,0,1,0,1,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,6.481
1.03,0,1,3,1,1,1,1,0,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.0
0.99,0,1,3,0,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,4.359
0.55,1,3,5,0,1,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,4.796
1.61,1,1,2,0,0,1,1,1,0,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,6.325
0.92,1,1,2,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,7.55
0.34,1,2,5,0,1,0,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.071
0.34,1,2,5,0,0,1,1,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,7.071
0.63,1,2,1,0,0,1,0,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,4.796
2.42,1,2,2,0,0,1,0,1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7.746
0.81,0,1,4,1,0,1,1,0,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,7.416
0.41,1,2,4,1,0,1,0,0,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,4.899
